☑️,ID товара,Артикул,Название,Категории,В наличии,Цена,Бренд,Основные характеристики,Дата добавления
false,334574240,76128,Бинокль Sightron SI 8x25 DH,"9175197, 21738939, 21376055, 21291860, 26065675, 21304610, 21281888, 9069711, 14314021, 9175207",Нет,12060.0,,": Влагозащищенный; : Азотом; : 6,8",Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,334574243,5660,Бинокль Sightron SII BL 8x42,"9175197, 21289079, 9071617, 30812027, 30812085, 21738939, 21291860, 26065675, 21328390, 9069711, 14314021, 9071632",Нет,18900.0,,": Влагозащищенный; : Азотом; : 8,2",Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,334574244,84177821,Бинокль Eschenbach Magno X 8x21,"21364987, 21738939, 21739251, 9175197, 13405425, 21281888, 9069711, 26065675, 21328390, 9071632, 9175207",Нет,5910.0,,: Влагозащищенный; : Нет; : Туристический,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,335549840,5639,Бинокль Nikon Aculon A30 10x25,"9069711, 21370907, 9071577, 9071641, 9175197, 21738977, 26065675, 21328390, 9175207",Нет,11090.0,,: Нет; : Туристический; : Оптический бинокль,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,335549901,7541,"Бинокль Yukon Pro 7x50 WA, со светофильтрами","21370911, 9069711, 18776891, 18790161, 9171813, 21692718, 9171863, 21739224, 21371028, 26065675, 21304610, 9071632",Нет,5479.0,,: Влагозащищенный; : –30...+40; : Yukon (Юкон),Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,335549905,3709,"Бинокль Yukon БЗ 30x50, зеркально-линзовый","9069711, 18777232, 18789226, 9171813, 21448979, 9071625, 9071615, 21370911, 26065675, 21304610",Нет,7742.0,,: –20...+45; : Нет; : Военный,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,335549913,9553,Бинокль Olympus 8x40 DPS I,"13533403, 21376082, 9069711, 21738939, 26065675, 21304610, 9071617, 9071632, 9175207",Да,14370.0,,: Постоянная; : Нет; : Полевой,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,335549917,3607,"Бинокль Olympus 8x21 DPC I, серебристый","9069711, 13533403, 21738939, 21739251, 9071622, 26065675, 21304610",Нет,6350.0,,: Оптический бинокль; : Постоянная; : Нет,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,335550043,13015,Бинокль Nikon Sportstar 8-24x25CF (black),"9175197, 30812085, 9069711, 21281888, 9071577, 9071642, 21738939, 21376055, 26065675, 21304610, 9071620, 23759918, 9175207",Нет,24380.0,,: Влагозащищенный; : 8; : 24,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351578,S0065911,Бинокль Pentax Jupiter 8x40,"9069711, 9175197, 21234220, 18788248, 21289079, 30812027, 30812085, 9171795, 21738939, 21376082, 15374532, 26065675, 21304610, 9071617, 30327631, 9071632, 9175207",Да,15030.0,,: Влагозащищенный; : Полевой; : Pentax (Пентакс),Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351583,S0065912,Бинокль Pentax Jupiter 10x50,"9175197, 18789226, 9069711, 21234220, 18788248, 21328451, 18788213, 18788231, 30812085, 9171795, 21739109, 15374532, 26065675, 21304610, 9071617, 30327631, 9071632, 9175207",Да,16230.0,,: Влагозащищенный; : Полевой; : Pentax (Пентакс),Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351585,S0065913,Бинокль Pentax Jupiter 12x50,"9069711, 9171795, 9175197, 30810643, 18789108, 21234220, 18788248, 21328451, 21387710, 30812085, 21387682, 15374532, 9071625, 26065675, 21304610, 18776746, 9071617, 30327631, 18789997, 9071632",Да,18140.0,,: Влагозащищенный; : Полевой; : Pentax (Пентакс),Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351588,S0065914,Бинокль Pentax Jupiter 16x50,"9175197, 18789226, 21234220, 18788248, 21328451, 9071615, 21328457, 18788213, 18788231, 9071632, 9069711, 30812085, 21448853, 21448868, 9071625, 9171795, 15374532, 26065675, 21304610, 23759918, 9071617, 30327631, 18789973, 9175207",Да,19100.0,,: Влагозащищенный; : Полевой; : Pentax (Пентакс),Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351590,S0069554,Штативный адаптер Pentax TP-3,,Да,5010.0,,: Pentax (Пентакс); : Нет,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351596,S0062209,Бинокль Pentax 8x21 UCF R,"9175197, 21234220, 30811721, 30812085, 9171795, 21738939, 21739251, 15374532, 9069711, 26065675, 21304610, 9171804, 9071632, 9175207",Нет,9310.0,,: Влагозащищенный; : Туристический; : Pentax (Пентакс),Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351598,S0061815,Бинокль Pentax UD 9x21 розовый,"9175197, 9069711, 21281888, 9171795, 26065675, 21328390, 21924895, 9175207",Нет,13370.0,,: Влагозащищенный; : Туристический; : Pentax (Пентакс),Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351602,S0069591,Адаптер для смартфона V-SA1 для монокуляра Pentax VM,"9069711, 9502077",Нет,6780.0,,: Для смартфона; : Адаптер; : Pentax (Пентакс),Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351603,S0069590,Макронасадка Macro Stand V-MS1 для монокуляра Pentax VM,"9069711, 9502077",Нет,6780.0,,: Для микроскопа; : Pentax (Пентакс); : Насадка,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351605,S0063620,Монокуляр Pentax VM 6x21 WP,"9174888, 9174899, 9174900, 9069711, 18788236, 9171544",Нет,25210.0,,: Водозащищенный; : IPX7; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351608,S0063621,Монокуляр Pentax VM 6x21 WP в комплекте с аксессуарами,"9174900, 9174899, 9174888, 9069711, 9171544",Нет,38310.0,,: Водозащищенный; : IPX8; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351609,S0069552,Штативный адаптер PENTAX U,"9069711, 9502077",Нет,1670.0,,: Pentax (Пентакс); : Адаптер; : Нет,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351610,S0069364,"Ремешок для бинокля Papilio, UP, UP WP","9502077, 9069711",Нет,1130.0,,: Pentax (Пентакс); : Для бинокля; : Шейный ремень,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351611,S0069533,"Крышка окуляра для UP, UCF M, UCF Q, UCF R 8/10x21","9502077, 9069711",Нет,200.0,,: Pentax (Пентакс); : Для бинокля; : Защитная крышка,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351612,S0069458,Крышка объективов DCF HRc/DCF CS/SD WP x42,"9069711, 9502077",Нет,2210.0,,: Pentax (Пентакс); : Для бинокля; : Защитная крышка,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336351613,S0069441,Крышка объектива для серии x50 XCF,"9069711, 9502077",Нет,300.0,,: Pentax (Пентакс); : Для бинокля; : Защитная крышка,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336892409,77226,"Бинокль ночного видения Bresser 3x20, цифровой","9069711, 21329326, 9071618, 18186611, 21328490, 21281897, 26065675, 21339985, 26605331, 9071582",Нет,39990.0,,: Бинокль; : 3; : 20,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336970253,78464,"Бинокль ночного видения Bresser NightSpyDIGI Pro FHD 3,6x, цифровой","9069711, 21328490, 9071618, 18186611, 21329326, 9071582, 21281897, 26065675, 21340011, 21339985, 21350918, 21350911, 26605331",Нет,59490.0,,": Бинокль; : 9,2; : 16,1",Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336973178,62113,"Бинокль ночного видения Диполь 203 4х6,6х, 2+","30811111, 9071618, 21281897, 21328490, 9069711, 21337102, 22557748, 26065675, 26605331",Нет,154380.0,,": Бинокль; : 4; : 9,5-6,2",Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336978385,62119,Бинокль ночного видения Диполь 209 4x BW,"21265201, 9071618, 21328490, 22557748, 9069711, 26065675, 26605331",Нет,189000.0,,": Бинокль; : 4; : 9,5",Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,336984020,7939,"Бинокль ночного видения Диполь D206PRO bw, 5X, (2+)","30810992, 21214433, 9069711, 22557748, 9071618, 21328490, 26065675, 26605331",Нет,165000.0,,": Бинокль; : 5; : 9,5",Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,337006561,80603,"Бинокль ночного видения Диполь D209 BW 4х, 2+","21328490, 22557748, 21337102, 9071618, 9069711, 26065675, 26605331",Нет,160000.0,,": Бинокль; : 4; : 9,5",Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,337083119,5935,Бинокль тепловизионный ДипольTG-1 F75,"9069711, 26086223, 28665182, 26065675, 28631291, 28652791, 28652945, 22557748, 21337140, 21337176, 21337102, 21737660, 9071618, 21281897",Нет,429000.0,,": 5,0х3,8; : 241x139x87; : Влагозащищенный",Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,337281658,79646,Бинокль цифровой ночного видения Discovery Night BL20 со штативом,"30230407, 18789108, 21337133, 18788231, 9071617, 26065675, 9069711, 21281897, 9071618, 21265192, 21340011, 21350911, 21350918, 21339985, 20818669, 26605331, 18789973",Да,17990.0,,: Discovery (Дискавери); : Влагозащищенный; : IP54,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,337756592,62125,"Монокуляр ночного видения Диполь 126, 2+","9069711, 9174899, 24372160, 9171544, 23927127, 23926915, 26605331, 26392241",Нет,139690.0,,: Dipol (Диполь); : IPX5; : –20...+50,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,337760106,62127,"Монокуляр ночного видения Диполь 128, 2+","30811111, 9069711, 9174899, 24372160, 9171544, 23927127, 23926915, 26605331, 26392241",Нет,87000.0,,: Dipol (Диполь); : IPX5; : –20...+50,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338701333,ЗТ8-24х40М-1,Зрительная труба ЗТ8-24х40М в подарочной коробке с магнитным клапаном,"9171538, 9069711, 9171782, 23771707, 49484897, 49528553, 9174948, 23771844, 28798943",Нет,12480.0,,: Прямой; : 8; : КОМЗ (г. Казань),Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338701340,ЗТ8-24х40М-2,"Зрительная труба ЗТ8-24х40М ""Светлый хром"" в подарочном исполнении",,Нет,26520.0,,: КОМЗ (г. Казань); : 24; : 40,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338701345,ЗТ8-24х40М-3,"Зрительная труба ЗТ8-24х40М ""Тёмный хром"" в подарочном исполнении",,Нет,26520.0,,: КОМЗ (г. Казань); : 24; : 40,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338701371,74418,Зрительная труба Bresser Corvette 15–45x60 WP,"49484881, 49528553, 9174948, 9069711, 9171538, 23771707, 23771844, 9171774",Нет,28990.0,,: Наклонный; : Влагозащищенный; : 15,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338701375,74160,Зрительная труба Levenhuk Blaze Compact 60,"49484881, 49528553, 9069711, 9171538, 23771707, 9171776, 9174943",Нет,15031.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338701379,76451,Зрительная труба Bresser Travel 20–60x80,"49484881, 49528553, 9174948, 9069711, 9171538, 23771707, 23771844, 9171774",Нет,28490.0,,: Наклонный; : 60; : 20,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338701401,81845,Зрительная труба Levenhuk Blaze Compact 50,,Нет,10700.0,,: Нет; : Levenhuk (Левенгук); : 24,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338701421,74422,Зрительная труба Bresser Dachstein 20–60x80 ED,"49484881, 49528553, 9174948, 9069711, 9171538, 9171774, 23771707, 23771844",Нет,206990.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338701449,79670,Зрительная труба Levenhuk LabZZ S5 12x30,,Да,890.0,,: Нет; : Levenhuk (Левенгук); : 12,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787258,81152,Зрительная труба SVBONY SV403 20–60x60,"49484881, 9171538, 9069711, 23771707, 49528553, 24077948, 9174948, 23771844",Нет,11020.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787261,81150,Зрительная труба SVBONY SV402 16–48x60,"49484881, 23771844, 9171538, 9069711, 23771707, 49528553, 24077948, 9174948",Нет,11340.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787263,81153,Зрительная труба SVBONY SV404 12–26x60 со штативом,"49484881, 23771707, 9171538, 9069711, 49528553, 24077948, 9174948, 23771844",Нет,11700.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787271,81151,Зрительная труба SVBONY SV402 20–60x70,"49484881, 23771844, 9171538, 9069711, 23771707, 49528553, 24077948, 9174948",Нет,15260.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787276,81149,Зрительная труба SVBONY SV401 20–60x80 WP со штативом,"9171538, 9069711, 23771707, 49484881, 49528553, 24077948, 24079152, 28796793, 9174948, 23771844",Нет,16790.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787278,81162,Зрительная труба SVBONY SV411 20–60x70 WP со штативом,"49484881, 9171538, 9069711, 23771707, 49528553, 24077948, 24079152, 9174948, 23771844",Нет,20510.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787280,81161,Зрительная труба SVBONY SV410 8–24x50,"49484881, 23771707, 23771844, 9171538, 9069711, 49528553, 24077948, 9174948",Нет,21870.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787282,81158,Зрительная труба SVBONY SV408 20–60x80 WP,"23771707, 9171538, 9069711, 49484881, 49528553, 24077948, 24079152, 9174948, 23771844",Нет,23050.0,,: Наклонный; : Водозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787284,81159,Зрительная труба SVBONY SV409 20–60x80 WP,"9171538, 9069711, 23771707, 49484881, 49528553, 24077948, 24079152, 23771844, 9174948",Нет,23060.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787287,81160,Зрительная труба SVBONY SV41 25–75x70 MAK WP со штативом,"49484881, 9171538, 9069711, 23771707, 23771844, 49528553, 24077948, 24079152, 9174948",Нет,24750.0,,: Наклонный; : Водозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787288,81163,Зрительная труба SVBONY SV411 20–60x80 WP со штативом,"49484881, 9171538, 9069711, 23771707, 49528553, 24077948, 24079152, 9174948, 23771844",Нет,26190.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787291,81154,Зрительная труба SVBONY SV406 20–60x80 WP,"49484881, 23771707, 9171538, 9069711, 49528553, 24077948, 24079152, 9174948, 23771844",Нет,35600.0,,: Наклонный; : Водозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787292,81164,Зрительная труба SVBONY SV46 20–60x80 WP,"49484881, 23771707, 9171538, 9069711, 49528553, 24077948, 24079152, 9174948, 23771844",Нет,40170.0,,: Наклонный; : Водозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787294,81155,Зрительная труба SVBONY SV406 25–75x100 WP,"49484881, 23771707, 9171538, 9069711, 49528553, 24077948, 24079152, 9174949, 23771844, 9174948",Нет,44070.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787296,81156,Зрительная труба SVBONY SV406P 16–48x65 ED WP,"49484881, 23771844, 23771707, 9171538, 9069711, 49528553, 24077948, 24079152, 9174948",Нет,49160.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787300,81165,Зрительная труба SVBONY SV46P 20–60x80 ED WP,"49484881, 23771707, 23771844, 9171538, 9069711, 49528553, 24079152, 28796793, 9174948",Нет,55940.0,,: Наклонный; : Водозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787301,81157,Зрительная труба SVBONY SV406P 20–60x80 ED WP,"49484881, 49528553, 9171538, 9069711, 24077948, 24079152, 9174948, 23771707",Нет,71030.0,,: Наклонный; : Водозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787304,81137,Зрительная труба SVBONY SV14 20–60x60 WP,"49484881, 49528553, 24077948, 24079152, 9174948, 9171538, 9069711, 23771707",Нет,9670.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787305,81145,"Зрительная труба SVBONY SV28 20–60x60 WP со штативом, прямая","49528553, 24077948, 24079152, 9174948, 9171538, 9069711, 23771707",Нет,10680.0,,: Водонепроницаемый; : Азотом; : 20,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787307,81144,"Зрительная труба SVBONY SV28 20–60x60 WP со штативом, наклонная","23771707, 9069711, 24077948, 24079152, 9174948, 23771844",Нет,12210.0,,: Водонепроницаемый; : Азотом; : 20,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787310,81141,"Зрительная труба SVBONY SV19 15–45x60 WP, наклонная","9171538, 9069711, 23771707, 49484881, 49528553, 24077948, 24079152, 23771844, 9174948",Нет,12720.0,,: Наклонный; : Водонепроницаемый; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787312,81138,Зрительная труба SVBONY SV14 25–75x70 WP,"49484881, 9171538, 9069711, 23771707, 23771844, 49528553, 24077948, 24079152, 9174948",Нет,13400.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787314,81147,"Зрительная труба SVBONY SV28 25–75x70 WP со штативом, зеленая","49484881, 49528553, 24077948, 24079152, 9174948, 9171538, 9069711, 23771707",Нет,13900.0,,: Наклонный; : Водонепроницаемый; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787315,81146,Зрительная труба SVBONY SV28 20–60x80 WP со штативом,"49484881, 23771707, 9171538, 9069711, 49528553, 24077948, 24079152, 9174948, 23771844",Нет,16110.0,,: Наклонный; : Водонепроницаемый; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787317,81139,"Зрительная труба SVBONY SV17 25–75x70 WP, зеленая","49484897, 23771707, 23771844, 9171538, 9069711, 49528553, 24077948, 24079152, 9174948",Нет,16270.0,,: Прямой; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787318,81136,Зрительная труба SVBONY SV13 20–60x65 WP,"49484881, 49528553, 24077948, 24079152, 9174948, 9171538, 9069711, 23771707",Нет,16790.0,,: Наклонный; : Водонепроницаемый; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787320,81143,Зрительная труба SVBONY SV19 20–60x80 WP,"23771707, 9171538, 9069711, 49484881, 49528553, 24077948, 24079152, 9174948, 23771844",Нет,28820.0,,: Наклонный; : Водозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787322,81142,"Зрительная труба SVBONY SV19 15–45x60 WP, прямая","49484897, 23771707, 9171538, 9069711, 23771844, 49528553, 24077948, 24079152, 9174948",Нет,127120.0,,: Прямой; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,338787323,81135,Зрительная труба SVBONY SA401 20–60x85 APO WP,,Нет,135600.0,,: Нет; : Svbony (Свбони); : 60,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106222,80541,Зрительная труба Carl Zeiss Conquest Gavia 30–60x85 HD,"49484881, 49528553, 9174948, 23771707, 24030225, 9171538, 9069711, 23771844",Нет,246960.0,,: Наклонный; : Азотом; : Влагозащищенный,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106225,63390,Зрительная труба Carl Zeiss Dialyt 18–45x65,"49484897, 49528553, 9171538, 9069711, 23771707, 24030225, 9174948, 23771844",Нет,97910.0,,: Прямой; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106226,80542,Зрительная труба Carl Zeiss Harpia 22–65x85,"49484881, 49528553, 23771844, 9171538, 9069711, 23771707, 9174948",Нет,392120.0,,: Наклонный; : Водонепроницаемый; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106227,80543,Зрительная труба Carl Zeiss Harpia 23–70x95,"49484881, 49528553, 23771707, 9171538, 9069711, 24030225, 9174948, 23771844",Нет,476400.0,,: Наклонный; : Водонепроницаемый; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106229,77804,Зрительная труба Discovery Range 50,"49484881, 49528553, 9171538, 9069711, 23771707, 28787223, 9174948, 23771844",Да,9990.0,,: Наклонный; : 45; : Нет,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106232,77805,Зрительная труба Discovery Range 60,"49484881, 49528553, 28787223, 23771707, 9171538, 9069711, 9174948, 23771844",Да,10990.0,,: Наклонный; : 60; : Нет,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106234,19198,Зрительная труба Eschenbach Trophy S 15–45x60,"49484881, 49528553, 9171538, 9069711, 23771707, 23771844, 9174948",Нет,43060.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106235,76796,Зрительная труба GAUT Sirius 12–36x50 со штативом,"49484881, 49528553, 9174948, 9171538, 9069711, 23771844, 23771707",Да,5250.0,,: Наклонный; : 36; : Штатив в комплекте,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106237,73842,Зрительная труба Hawke Endurance 16–48x68,"49484881, 49528553, 9174948, 23771707, 9171538, 9069711, 23771844",Нет,35870.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106239,73843,Зрительная труба Hawke Endurance 20–60x85,"49484881, 49528553, 9174948, 23771707, 9171538, 9069711, 23771844",Нет,41010.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106240,80544,Зрительная труба Hawke Endurance ED 20–60x68,"49484881, 49528553, 9174948, 23771707, 9171538, 9069711, 23771844",Нет,66160.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106243,73844,Зрительная труба Hawke Endurance ED 20–60x85,"49484881, 49528553, 9174948, 9171538, 9069711, 23771707, 23771844",Нет,58880.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106244,73845,Зрительная труба Hawke Nature Trek 16–48x65,"49484881, 49528553, 9174948, 9171538, 9069711, 23771707, 23771844",Нет,23350.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106247,73846,Зрительная труба Hawke Nature Trek 20–60x80,"49484881, 49528553, 28796793, 9171538, 9069711, 23771707, 23771844, 9174948",Нет,26950.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106250,80408,Зрительная труба Hawke Nature Trek 9–27х56,"49484881, 49528553, 9174948, 9171538, 9069711, 23771707, 23771844",Нет,16560.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106253,73847,Зрительная труба Hawke Vantage 20–60x60,"49484881, 49528553, 9174948, 9171538, 9069711, 23771707, 23771844",Нет,14650.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106254,73848,Зрительная труба Hawke Vantage 24–72x70,"49484881, 49528553, 9174948, 9171538, 9069711, 23771707, 23771844",Нет,18720.0,,: Наклонный; : Влагозащищенный; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106255,81292,"Зрительная труба Kenko PRO1S 16–48x65, наклонная","49484881, 49528553, 28787317, 28796793, 9171538, 9069711, 23771707, 9174948, 23771844",Да,13680.0,,: Наклонный; : Влагозащищенный; : 48,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106256,81293,"Зрительная труба Kenko PRO1S 16–48x65, прямая","49484897, 49528553, 28787317, 9174948, 9171538, 9069711, 23771707, 23771844",Нет,16240.0,,: Прямой; : Влагозащищенный; : 48,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106258,76595,Зрительная труба Konus Konuspot-50 15–40x50,"49484897, 49528553, 28788403, 9171538, 9069711, 23771707, 9174948, 23771844",Нет,6960.0,,: Прямой; : 40; : Нет,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106260,76596,Зрительная труба Konus Konuspot-60C 20–60x60,"49484881, 49528553, 23771707, 9171538, 9069711, 9174948, 28788403, 23771844",Да,14520.0,,: Наклонный; : 60; : Штатив в комплекте,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106263,70179,"Зрительная труба Leica Apo-Televid 25–50x65, наклонный окуляр","49484881, 49528553, 24736567, 28787332, 9174948, 23771707, 9171538, 9069711, 23771844",Нет,163200.0,,: Наклонный; : Водонепроницаемый; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
false,339106264,70180,"Зрительная труба Leica Apo-Televid 25–50x82, наклонная, без окуляра","49484881, 49528553, 28787332, 24736567, 9171538, 9069711, 23771707, 9174948, 23771844",Нет,278050.0,,: Наклонный; : Водонепроницаемый; : Азотом,Tue Oct 14 2025 17:36:24 GMT+0300 (Moscow Standard Time)
